,molecule_chembl_id,standard_value,standard_units,target_chembl_id,smiles
167261,CHEMBL4205499,3670.0,nM,CHEMBL1075104,O=C1Nc2ccccc2C1=NN(Cc1ccccc1)c1ccccc1
167262,CHEMBL4204060,5760.0,nM,CHEMBL1075104,CN1C(=O)C(=NN(c2ccccc2)c2ccccc2)c2ccccc21
167263,CHEMBL4208935,6980.0,nM,CHEMBL1075104,O=C1C(=NN(c2ccccc2)c2ccccc2)c2ccccc2N1Cc1ccccc1
167264,CHEMBL4204350,10.0,nM,CHEMBL1075104,O=C1Nc2ccc(Cl)cc2C1=NN(c1ccccc1)c1ccccc1
167265,CHEMBL4204350,50.0,nM,CHEMBL1075104,O=C1Nc2ccc(Cl)cc2C1=NN(c1ccccc1)c1ccccc1
167266,CHEMBL4204860,20.0,nM,CHEMBL1075104,O=C1Nc2ccc(F)cc2C1=NN(c1ccccc1)c1ccccc1
167267,CHEMBL4204860,120.0,nM,CHEMBL1075104,O=C1Nc2ccc(F)cc2C1=NN(c1ccccc1)c1ccccc1
167268,CHEMBL4218001,20.0,nM,CHEMBL1075104,O=C1Nc2ccc(Br)cc2C1=NN(c1ccccc1)c1ccccc1
167269,CHEMBL4218001,30.0,nM,CHEMBL1075104,O=C1Nc2ccc(Br)cc2C1=NN(c1ccccc1)c1ccccc1
167270,CHEMBL4213079,5350.0,nM,CHEMBL1075104,O=C1Nc2ccc(OC(F)(F)F)cc2/C1=N\N(c1ccccc1)c1ccccc1
167271,CHEMBL4213079,21500.0,nM,CHEMBL1075104,O=C1Nc2ccc(OC(F)(F)F)cc2/C1=N\N(c1ccccc1)c1ccccc1
167272,CHEMBL4211027,130.0,nM,CHEMBL1075104,COc1ccc2c(c1)/C(=N\N(c1ccccc1)c1ccccc1)C(=O)N2
167273,CHEMBL4211027,310.0,nM,CHEMBL1075104,COc1ccc2c(c1)/C(=N\N(c1ccccc1)c1ccccc1)C(=O)N2
167274,CHEMBL4206138,280.0,nM,CHEMBL1075104,O=C1Nc2ccc(Cl)cc2C1=NN1CCCCC1
167275,CHEMBL4206138,570.0,nM,CHEMBL1075104,O=C1Nc2ccc(Cl)cc2C1=NN1CCCCC1
167276,CHEMBL4206654,1500.0,nM,CHEMBL1075104,O=C1Nc2ccc(F)cc2C1=NN1CCCCC1
167277,CHEMBL4206654,2010.0,nM,CHEMBL1075104,O=C1Nc2ccc(F)cc2C1=NN1CCCCC1
167278,CHEMBL4203258,490.0,nM,CHEMBL1075104,O=C1Nc2ccc(Br)cc2C1=NN1CCCCC1
167279,CHEMBL4203258,540.0,nM,CHEMBL1075104,O=C1Nc2ccc(Br)cc2C1=NN1CCCCC1
167280,CHEMBL4214911,760.0,nM,CHEMBL1075104,COc1ccc2c(c1)C(=NN1CCCCC1)C(=O)N2
167281,CHEMBL4214911,1110.0,nM,CHEMBL1075104,COc1ccc2c(c1)C(=NN1CCCCC1)C(=O)N2
167282,CHEMBL4215437,1200.0,nM,CHEMBL1075104,O=C1Nc2ccc(Cl)cc2C1=NN1CCOCC1
167283,CHEMBL4215437,1460.0,nM,CHEMBL1075104,O=C1Nc2ccc(Cl)cc2C1=NN1CCOCC1
167284,CHEMBL4210498,3650.0,nM,CHEMBL1075104,O=C1Nc2ccc(F)cc2C1=NN1CCOCC1
167285,CHEMBL4210498,5400.0,nM,CHEMBL1075104,O=C1Nc2ccc(F)cc2C1=NN1CCOCC1
167286,CHEMBL4207078,1330.0,nM,CHEMBL1075104,O=C1Nc2ccc(Br)cc2C1=NN1CCOCC1
167287,CHEMBL4207078,1020.0,nM,CHEMBL1075104,O=C1Nc2ccc(Br)cc2C1=NN1CCOCC1
167288,CHEMBL4214200,8740.0,nM,CHEMBL1075104,O=C1Nc2ccc(OC(F)(F)F)cc2C1=NN1CCOCC1
167289,CHEMBL4214200,7490.0,nM,CHEMBL1075104,O=C1Nc2ccc(OC(F)(F)F)cc2C1=NN1CCOCC1
167290,CHEMBL4202514,6020.0,nM,CHEMBL1075104,COc1ccc2c(c1)C(=NN1CCOCC1)C(=O)N2
167291,CHEMBL4202514,5930.0,nM,CHEMBL1075104,COc1ccc2c(c1)C(=NN1CCOCC1)C(=O)N2
167292,CHEMBL4216488,550.0,nM,CHEMBL1075104,O=C1Nc2ccc(I)cc2C1=NN1CCOCC1
167293,CHEMBL4216488,510.0,nM,CHEMBL1075104,O=C1Nc2ccc(I)cc2C1=NN1CCOCC1
